Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band9,Band10,Band11,sunelevation,ReflectanceBand1,ReflectanceBand2,ReflectanceBand3,ReflectanceBand4,ReflectanceBand5,ReflectanceBand6,ReflectanceBand7,ReflectanceBand9,ReflectanceBand10,ReflectanceBand11,CorrectiveBand1,CorrectiveBand2,CorrectiveBand3,CorrectiveBand4,CorrectiveBand5,CorrectiveBand6,CorrectiveBand7,CorrectiveBand9,CorrectiveBand10,CorrectiveBand11,NDVI,SAVI,EVI,Soiltype
10750,10215,9818,9949,13999,12936,10806,5041,27211,24505,41.33388055,0.115,0.1043,0.17998,0.17998,0.15872,0.11612,0.00082,0.44422,0.3901,0.44422,-0.24291027,-0.220309053,-0.380165134,-0.380165134,-0.335258418,-0.245276005,-0.001732056,-0.938309566,-0.823993881,-0.938309566,-0.03946538,-0.059198069,-1.44E-09,Sandy Loam
10356,9601,8944,8362,15037,10579,8523,5031,25571,23145,41.33388055,0.10712,0.09202,0.20074,0.20074,0.11158,0.07046,0.00062,0.41142,0.3629,0.41142,-0.226265636,-0.194370461,-0.424015718,-0.424015718,-0.23568633,-0.148830066,-0.001309603,-0.869027332,-0.766540321,-0.869027332,-0.174031855,-0.261047783,-7.30E-09,Loam
9700,8960,8200,7560,13572,9789,7719,5030,25539,23358,34.98689787,0.094,0.0792,0.17144,0.17144,0.09578,0.05438,0.0006,0.41078,0.36716,0.41078,-0.225795468,-0.190244692,-0.411812501,-0.411812501,-0.23007117,-0.13062508,-0.001441248,-0.986726196,-0.88194749,-0.986726196,-0.161936561,-0.242904841,-7.94E-09,Loam
11711,11390,11107,11414,12894,13906,13187,5033,0,0,36.60746533,0.13422,0.1278,0.15788,0.15788,0.17812,0.16374,0.00066,-0.1,-0.1,-0.1,-0.151253027,-0.144018304,-0.17791557,-0.17791557,-0.200724103,-0.184519227,-0.000743757,0.112690379,0.112690379,0.112690379,0.037761194,0.056641791,1.24E-09,Sandy Clay Loam
12938,12281,11666,11435,13725,10704,9788,7208,15315,14943,36.29734783,0.15876,0.14562,0.1745,0.1745,0.11408,0.09576,0.04416,0.2063,0.19886,0.2063,-0.161055358,-0.147725379,-0.177022927,-0.177022927,-0.115729373,-0.097144501,-0.044798467,-0.209282693,-0.201735125,-0.209282693,-0.123664497,-0.185496746,-4.19E-09,Sandy Loam
10662,10035,9314,8786,12297,8940,7480,4996,25107,23058,32.59260874,0.11324,0.1007,0.14594,0.14594,0.0788,0.0496,-8.00E-05,0.40214,0.36116,0.40214,0.1226421,0.109060928,0.158057118,0.158057118,0.085342613,0.053718193,-8.66E-05,0.435528912,0.391146421,0.435528912,-0.158073174,-0.237109761,-7.61E-09,Silty Clay
10362,9598,8637,8011,11939,8763,6976,5018,25295,23222,36.8558695,0.10724,0.09196,0.13878,0.13878,0.07526,0.03952,0.00036,0.4059,0.36444,0.4059,-0.143598714,-0.123138174,-0.185832054,-0.185832054,-0.100776196,-0.052918885,-0.000482055,-0.54351658,-0.487999956,-0.54351658,-0.153415129,-0.230122693,-7.91E-09,Clay Loam
10631,9951,9151,8600,10557,8737,7299,5027,25027,22821,33.83660142,0.11262,0.09902,0.11114,0.11114,0.07474,0.04598,0.00054,0.40054,0.35642,0.40054,0.170617136,0.150013397,0.168374964,0.168374964,0.113229664,0.069658816,0.00081809,0.606810404,0.539969451,0.606810404,-0.094329843,-0.141494765,-4.96E-09,Silt Loam
10528,9968,9665,9832,11550,12112,10727,5025,28816,26393,42.51401151,0.11056,0.09936,0.131,0.131,0.14224,0.11454,0.0005,0.47632,0.42786,0.47632,-0.111143461,-0.099884355,-0.13169133,-0.13169133,-0.142990647,-0.115144465,-0.000502639,-0.478833695,-0.430117956,-0.478833695,0.023751162,0.035626743,1.01E-09,Clay Loam
9826,9225,8597,8225,13037,9912,8257,5051,24064,22313,37.28082471,0.09652,0.0845,0.16074,0.16074,0.09824,0.06514,0.00102,0.38128,0.34626,0.38128,-0.237619362,-0.208027726,-0.395720433,-0.395720433,-0.241853772,-0.160365989,-0.002511104,-0.938660487,-0.85244592,-0.938660487,-0.136171511,-0.204257266,-6.55E-09,Sandy Loam
